name,the_score,num_pairs,h0_pairs,h1_pairs
01_test.png,0.01376397,1827,674,1153
02_test.png,0.01257127,1729,652,1077
03_test.png,0.01328256,1717,641,1076
04_test.png,0.01620756,1783,686,1097
05_test.png,0.01439466,1708,651,1057
06_test.png,0.01265938,1779,650,1129
07_test.png,0.01634793,1706,656,1050
08_test.png,0.01619427,1838,688,1150
09_test.png,0.01223017,1701,667,1034
10_test.png,0.01463685,1765,700,1065
11_test.png,0.01463874,1746,647,1099
12_test.png,0.01298936,1715,674,1041
13_test.png,0.01302361,1740,674,1066
14_test.png,0.01355043,1728,654,1074
15_test.png,0.01646648,1755,655,1100
16_test.png,0.01280137,1722,641,1081
17_test.png,0.01080352,1741,653,1088
18_test.png,0.01185406,1724,628,1096
19_test.png,0.01532411,1801,672,1129
20_test.png,0.01340301,1792,673,1119
